filename,annotation
hand_image_0001.jpg,"Right hand in pronated orientation with dorsal surface displayed; digits II-V in partial flexion at metacarpophalangeal and proximal interphalangeal joints, thumb (digit I) in opposition and partial flexion, creating a concave palmar aspect. Visible morphological features include prominent dorsal metacarpal veins, extensor tendons, and distinct interphalangeal joint creases."
hand_image_0003.jpg,"Right hand in supinated orientation with palm facing upward; digits II–V in slight extension with mild abduction, thumb (digit I) abducted and extended laterally, wrist in neutral to slightly extended position with forearm visible entering from the lower right."
hand_image_0004.jpg,"Right hand in pronated position extended horizontally from the right; fingers II–V in partial flexion with metacarpophalangeal joints flexed and interphalangeal joints semi-extended, thumb (digit I) adducted and flexed beneath the palm, with visible dorsal extensor tendons and prominent ulnar styloid process."
hand_image_0005.jpg,"Right hand presented in supinated position with palmar surface facing the viewer; all five digits fully extended and abducted, displaying maximal interdigital separation with the thumb in radial abduction. Wrist is dorsiflexed with the forearm oriented vertically, exhibiting visible palmar flexion creases and thenar eminence."
hand_image_0006.jpg,"Right hand in supinated position with forearm extended horizontally; digits II-V in slight flexion at metacarpophalangeal and interphalangeal joints with adduction, thumb (digit I) in neutral abduction and extension, palmar surface oriented superiorly forming a shallow concave curvature."
hand_image_0007.jpg,"Right hand extended from lower right, presented in lateral orientation with radial aspect superior; thumb and index finger partially flexed and opposed with an approximate 3-4 cm interdigital gap, while middle, ring, and little fingers are fully flexed against the palm, which faces medially."
hand_image_0008.jpg,"Right hand extended with palm facing anteriorly (supinated), digits II–V in full extension and slight abduction, with the thumb (digit I) adducted and obscured behind the palm. Wrist is in neutral position with the forearm partially visible, entering from the right side of the frame."
hand_image_0009.jpg,"Right manus extended horizontally with pronated forearm; wrist in slight palmar flexion, digits II–V in partial flexion with relaxed interphalangeal joints, pollex adducted and partially occluded beneath the palm. Dorsal surface faces superiorly; nails display pale lacquer, with visible tendon relief along the dorsum manus."
hand_image_0010.jpg,"Right hand in vertical orientation with dorsal surface facing viewer; index and middle fingers extended and adducted, ring and little fingers fully flexed against palm, thumb adducted and obscured. Metacarpophalangeal joints of extended digits in neutral position with visible extensor tendons and dorsal venous network across the metacarpal region."
hand_image_0011.jpg,"Right hand extended horizontally with forearm pronated; digits II-V adducted and extended in parallel alignment, thumb (digit I) abducted and extended in the plane of the palm. Palmar surface oriented superiorly (supinated palm), with visible flexion creases at the wrist, metacarpophalangeal, and interphalangeal joints."
